Arrowhead Stadium,76416,76416.1,Kansas City Missouri,Grass,FALSE,KC,1972,GHCND:USC00234154,None,910
Bank of America Stadium,73778,73778,Charlotte North Carolina,Grass,False,CAR,1996,GHCND:USW00013881,None,751
Candlestick Park,69732,69732,San Francisco California,Kentucky Bluegrass,False,SF,1960,GHCND:USW00023234,None,52
CenturyLink Field,67000,72000,Seattle Washington,FieldTurf,True,SEA,2002,GHCND:USW00024234,None,5
Cowboys Stadium,80000,105121,Arlington Texas,Matrix RealGrass—artificial turf,True,DAL,2009,GHCND:USC00410337,Retractable,430
Edward Jones Dome,66965,66965,St. Louis Missouri,AstroTurf GameDay Grass 3D,True,STL,1995,GHCND:USW00003966,Dome,466
EverBank Field,67246,76867,Jacksonville Florida,419 Tifway Bermuda Grass,False,JAC,1995,GHCND:USW00093837,None,16
FedExField,85000,85000,Landover Maryland,419 Tifway Bermuda Grass,False,WAS,1997,GHCND:US1MDPG0012,None,200
FirstEnergy Stadium,73200,73200,Cleveland Ohio,Kentucky Bluegrass,False,CLE,1999,GHCND:USW00004853,None,653
Ford Field,65000,70000,Detroit Michigan,FieldTurf,True,DET,2002,GHCND:USW00014822,Dome,600
Georgia Dome,71228,71228,Atlanta Georgia,FieldTurf,True,ATL,1992,GHCND:USC00090444,Dome,738
Gillette Stadium,68756,68756,Foxborough Massachusetts,FieldTurf,True,NE,2002,GHCND:USC00190860,None,289
Heinz Field,65050,66662,Pittsburgh Pennsylvania,Grass,False,PIT,2001,GHCND:USW00094823,None,710
Lambeau Field,79594,79594,Green Bay Wisconsin,Desso GrassMaster,True,GB,1957,GHCND:USW00014898,None,581
Lincoln Financial Field,68532,69144,Philadelphia Pennsylvania,Desso GrassMaster,True,PHI,2003,GHCND:USW00094732,None,39
LP Field,69143,69143,Nashville Tennessee,419 Tifway Bermuda Grass,False,TEN,1999,GHCND:USC00406407,None,597
Lucas Oil Stadium,62421,70000,Indianapolis Indiana,FieldTurf,True,IND,2008,GHCND:USW00093819,Retractable,715
M&T Bank Stadium,71008,71008,Baltimore Maryland,Sportexe Momentum Turf,True,BAL,1998,GHCND:USW00093721,None,33
Mall of America Field,64121,64121,Minneapolis Minnesota,UBU-Intensity Series- S5-M Synthetic Turf,True,MIN,1982,GHCND:USW00094960,Dome,830
Mercedes-Benz Superdome,73208,76468,New Orleans Louisiana,UBU-Intensity Series- S5-M Synthetic Turf,True,NO,1975,GHCND:USW00012916,Dome,65
MetLife Stadium,82566,82566,East Rutherford New Jersey,FieldTurf,True,NYG,2010,GHCND:USW00054743,None,3
MetLife Stadium,82566,82566,East Rutherford New Jersey,FieldTurf,True,NYJ,2010,GHCND:USW00054743,None,3
O.co Coliseum,53200,63132,Oakland California,Grass,False,OAK,1966,GHCND:USC00046336,None,42
Paul Brown Stadium,65535,65535,Cincinnati Ohio,FieldTurf,True,CIN,2000,GHCND:USW00093812,None,482
Qualcomm Stadium,70561,70561,San Diego California,Grass,False,SD,1967,GHCND:USW00023188,None,72
Ralph Wilson Stadium,73079,73079,Orchard Park New York,A-Turf Titan,True,BUF,1973,GHCND:USW00014733,None,600
Raymond James Stadium,65908,75000,Tampa Florida,419 Tifway Bermuda Grass,False,TB,1998,GHCND:USW00012842,None,48
Reliant Stadium,71054,71738,Houston Texas,419 Tifway Bermuda Grass,False,HOU,2002,GHCND:USC00414326,Retractable,43
Soldier Field,61500,62871,Chicago Illinois,Grass,False,CHI,1924,GHCND:USW00014819,None,597
Sports Authority Field at Mile High,76125,76125,Denver Colorado,Desso GrassMaster,True,DEN,2001,GHCND:USC00052223,None,5130
Sun Life Stadium,75540,80120,Miami Gardens Florida,419 Tifway Bermuda Grass,False,MIA,1987,GHCND:USW00012882,None,6
University of Phoenix Stadium,63400,78600,Glendale Arizona,419 Tifway Bermuda Grass,False,ARI,2006,GHCND:USW00023183,Retractable,1150
